,Date,Ethereum,Tron,BSC,Arbitrum,Solana,Base,Avalanche,Polygon,Optimism,Near,TON,Sui,Mantle,Fantom,Celo,Blast,Noble,Aptos,Kava,Scroll,Stellar,Gnosis,Algorand,Omni,StarkNet,EOS,PulseChain,zkSync Era,Fraxtal,Osmosis,Ronin,Tezos,Klaytn,Linea,Heco,Mixin,Metis,Injective,Cronos,KCC,Manta,MultiversX,Rootstock,Canto,Cardano,re.al,Moonriver,OKExChain,zkSync Lite,Waves,Hedera,smartBCH,Kujira,Harmony,Immutable zkEVM,Bitlayer,Moonbeam,Liquidchain,Mode,Aurora,IoTeX,Astar,Taiko,Loopring,Icon,NEO,ICP,Karura,Zilliqa,Bifrost Network,XDC,Polygon zkEVM,Secret,Boba,Meter,DFK,EthereumPoW,Stacks,Wanchain,Agoric,ThunderCore,Fuse,Telos,Arbitrum Nova,Bittorrent,Oasis,Kardia,Dogechain,Aztec,Milkomeda C1,Ergo,SXnetwork,Elastos,Statemine,Concordium,Syscoin,TomoChain,Evmos,EthereumClassic,Q,Theta,Shiden,Conflux,Archway,Velas,REINetwork,Everscale,Crab,Havah,X Layer,Terra Classic,DefiChain,Ontology,Kadena,Flow,Acala,Total,Month,Year,Day
0,2022-05-12,92442717522.0,35637426611.0,12802874641.0,1136650288.0,5712857732.0,0.0,3514690103.0,2527809170.0,279413515.0,0.0,0.0,0.0,0.0,1293832849.0,37941440.0,0.0,0.0,0.0,0.0,0.0,173978127.0,240139908.0,377931106.0,887739399,0.0,78250427.0,0.0,0.0,0.0,0.0,32940762.0,0.0,0.0,0.0,1106621201.0,0.0,70479697.0,0.0,0.0,73061955.0,0.0,0.0,11939023.0,0.0,0.0,0.0,115738783.0,963146618.0,0.0,0.0,19530104.0,0.0,0.0,103076076.0,0.0,0.0,116155314.0,25711849,0.0,746815899.0,4416331.0,124751095.0,0.0,34009774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45494689.0,2079770.0,0.0,0.0,0.0,0.0,0.0,0.0,4153328.0,2327540.0,0.0,5634409.0,88938077.0,1166690.0,0.0,1373448.0,0.0,0.0,0.0,1936676.0,490006.0,0.0,3454596.0,449745.0,14598834.0,0.0,0.0,372697.0,77193.0,0.0,0.0,411909.0,4527.0,0.0,162621.0,0.0,0.0,10066924233.0,0.0,0.0,0.0,13790337.0,0.0,170946488644.0,5,2022,12
1,2022-05-13,91359649856.0,35676980761.0,12778527806.0,1133578304.0,5685929076.0,0.0,3434031594.0,2505345988.0,285409695.0,0.0,0.0,0.0,0.0,1260735100.0,37744032.0,0.0,0.0,0.0,0.0,0.0,173978127.0,230592049.0,377931106.0,887739399,0.0,78250427.0,0.0,0.0,0.0,0.0,32940762.0,0.0,0.0,0.0,1106571992.0,0.0,70479697.0,0.0,0.0,73061755.0,0.0,0.0,11939023.0,0.0,0.0,0.0,114742225.0,963150619.0,0.0,0.0,19530104.0,0.0,0.0,87529954.0,0.0,0.0,116205332.0,25711849,0.0,743874099.0,4162151.0,116988237.0,0.0,34041279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45946338.0,2082798.0,0.0,0.0,0.0,0.0,0.0,0.0,3978707.0,2327540.0,0.0,5594332.0,88564230.0,1166690.0,0.0,1413452.0,0.0,0.0,0.0,1884711.0,490006.0,0.0,3453801.0,449745.0,14598593.0,0.0,0.0,372697.0,78088.0,0.0,0.0,355393.0,4527.0,0.0,162621.0,0.0,0.0,3747480970.0,0.0,0.0,0.0,13790337.0,0.0,163361547974.0,5,2022,13
2,2022-05-14,90243850219.0,35067993148.0,12757816982.0,1138415918.0,5958091998.0,0.0,3440928698.0,2489049649.0,281313730.0,0.0,0.0,0.0,0.0,1223739507.0,37738950.0,0.0,0.0,0.0,0.0,0.0,173195184.0,211006612.0,400714458.0,887739399,0.0,78250427.0,0.0,0.0,0.0,0.0,32940762.0,0.0,0.0,0.0,1111785331.0,0.0,67807137.0,0.0,0.0,73234200.0,0.0,0.0,11939023.0,0.0,0.0,0.0,119894051.0,963150917.0,0.0,0.0,20113917.0,0.0,0.0,82442930.0,0.0,0.0,114387311.0,25711849,0.0,655718605.0,4739977.0,105223803.0,0.0,34861979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43517381.0,2089617.0,0.0,0.0,0.0,0.0,0.0,0.0,3902864.0,2344934.0,0.0,5856263.0,86087846.0,1151100.0,0.0,1421998.0,0.0,0.0,0.0,1861035.0,490006.0,0.0,3527823.0,449745.0,13695963.0,0.0,0.0,380696.0,78088.0,0.0,0.0,370393.0,4527.0,0.0,162621.0,0.0,0.0,1292620544.0,0.0,0.0,0.0,12944391.0,0.0,159286754506.0,5,2022,14
3,2022-05-15,90219551826.0,34505739977.0,12764205185.0,1134652819.0,5957947963.0,0.0,3531359144.0,2459285235.0,281956820.0,0.0,0.0,0.0,0.0,1216048468.0,37780015.0,0.0,0.0,0.0,0.0,0.0,173251769.0,193017256.0,398022890.0,886803509,0.0,78167932.0,0.0,0.0,0.0,0.0,32947350.0,0.0,0.0,0.0,1115110932.0,0.0,62283916.0,0.0,0.0,73398018.0,0.0,0.0,11927264.0,0.0,0.0,0.0,119553755.0,962149675.0,0.0,0.0,20117940.0,0.0,0.0,81465081.0,0.0,0.0,107958223.0,25684743,0.0,644926548.0,4681508.0,102700711.0,0.0,34447549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43261961.0,2088469.0,0.0,0.0,0.0,0.0,0.0,0.0,3891487.0,2225713.0,0.0,5726190.0,86022514.0,1149885.0,0.0,1465042.0,0.0,0.0,0.0,1841802.0,489489.0,0.0,3425699.0,448767.0,13498762.0,0.0,0.0,400326.0,78149.0,0.0,0.0,371430.0,4523.0,0.0,162562.0,0.0,0.0,1321926976.0,0.0,0.0,0.0,12946980.0,0.0,158738570747.0,5,2022,15
4,2022-05-16,90351203394.0,34483982953.0,12760187670.0,1135389625.0,5957099787.0,0.0,3523536382.0,2462695760.0,281780356.0,0.0,0.0,0.0,0.0,1203154058.0,37714459.0,0.0,0.0,0.0,0.0,0.0,173119686.0,182501541.0,398068653.0,886956777,0.0,78181442.0,0.0,0.0,0.0,0.0,32949873.0,0.0,0.0,0.0,1115303209.0,0.0,60684298.0,0.0,0.0,73512999.0,0.0,0.0,11928610.0,0.0,0.0,0.0,123313999.0,962314465.0,0.0,0.0,20119480.0,0.0,0.0,81077617.0,0.0,0.0,107630823.0,25689182,0.0,601360468.0,4518430.0,105399007.0,0.0,35762014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43189224.0,2090846.0,0.0,0.0,0.0,0.0,0.0,0.0,3873039.0,2238140.0,0.0,5807997.0,84809382.0,1150084.0,0.0,1216713.0,0.0,0.0,0.0,1829819.0,489574.0,0.0,3402111.0,448844.0,13474242.0,0.0,0.0,400302.0,78104.0,0.0,0.0,370694.0,4523.0,0.0,162582.0,0.0,0.0,1073084407.0,0.0,0.0,0.0,12947971.0,0.0,158528205615.0,5,2022,16
5,2022-05-17,91287052632.0,35117954481.0,12771170878.0,1128107541.0,5994389702.0,0.0,3501683791.0,2469013775.0,282057336.0,0.0,0.0,0.0,0.0,1187185698.0,37656141.0,0.0,0.0,0.0,0.0,0.0,176073917.0,178855407.0,409243073.0,886956777,0.0,78181442.0,0.0,0.0,0.0,0.0,32949873.0,0.0,0.0,0.0,1115303209.0,0.0,60217634.0,0.0,0.0,73524247.0,0.0,0.0,11928536.0,0.0,0.0,0.0,123963392.0,962314777.0,0.0,0.0,20119480.0,0.0,0.0,80825152.0,0.0,0.0,104219617.0,25689182,0.0,374519538.0,4463821.0,98120108.0,0.0,34794413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42739576.0,2090874.0,0.0,0.0,0.0,0.0,0.0,0.0,3875223.0,2238140.0,0.0,5815195.0,86295758.0,1150082.0,0.0,1262870.0,0.0,0.0,0.0,1828428.0,489574.0,0.0,4376659.0,448844.0,13428445.0,0.0,0.0,398677.0,78101.0,0.0,0.0,370611.0,4523.0,0.0,162582.0,0.0,0.0,1106578991.0,0.0,0.0,0.0,15543895.0,0.0,159917712618.0,5,2022,17
6,2022-05-18,90853344459.0,34538055562.0,12770402189.0,1094980290.0,5999256319.0,0.0,3440123399.0,2432630479.0,258090879.0,0.0,0.0,0.0,0.0,1119727750.0,37649769.0,0.0,0.0,0.0,0.0,0.0,175641777.0,173720998.0,411455543.0,886814694,0.0,78168918.0,0.0,0.0,0.0,0.0,32947311.0,0.0,0.0,0.0,1121223411.0,0.0,59573488.0,0.0,0.0,75553436.0,0.0,0.0,11926698.0,0.0,0.0,0.0,124270260.0,962161397.0,0.0,0.0,20117916.0,0.0,0.0,80416956.0,0.0,0.0,103952034.0,25685067,0.0,373196297.0,4789258.0,98139269.0,0.0,34655762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42199667.0,2082285.0,0.0,0.0,0.0,0.0,0.0,0.0,3887502.0,2236721.0,0.0,5849155.0,86720525.0,1149954.0,0.0,1311197.0,0.0,0.0,0.0,1791485.0,489496.0,0.0,3612691.0,448772.0,12898315.0,0.0,0.0,398679.0,78304.0,0.0,0.0,370744.0,4523.0,0.0,162563.0,0.0,0.0,872540116.0,0.0,0.0,0.0,15281967.0,0.0,158452186246.0,5,2022,18
7,2022-05-19,91314318416.0,34534869055.0,12771359210.0,1099647697.0,5997814813.0,0.0,3423520027.0,2428549216.0,258920467.0,0.0,0.0,0.0,0.0,1085310693.0,37561083.0,0.0,0.0,0.0,0.0,0.0,173926698.0,153314486.0,400400181.0,886873249,0.0,78174080.0,0.0,0.0,0.0,0.0,32955451.0,0.0,0.0,0.0,1044815622.0,0.0,63107528.0,0.0,0.0,75632347.0,0.0,0.0,11888638.0,0.0,0.0,0.0,124550564.0,962226464.0,0.0,0.0,9969020.0,0.0,0.0,76576607.0,0.0,0.0,104008567.0,25686762,0.0,359849789.0,4775802.0,97653534.0,0.0,34016074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42287583.0,2078973.0,0.0,0.0,0.0,0.0,0.0,0.0,3913597.0,2215092.0,0.0,5825019.0,88219529.0,1143760.0,0.0,1391050.0,0.0,0.0,0.0,1724566.0,489528.0,0.0,3647218.0,448802.0,13021295.0,0.0,0.0,390189.0,78518.0,0.0,0.0,370603.0,4523.0,0.0,162590.0,0.0,0.0,918006337.0,0.0,0.0,0.0,13336057.0,0.0,158771026969.0,5,2022,19
8,2022-05-20,91821672266.0,34549470555.0,12764751113.0,1102292287.0,6013999297.0,0.0,3481217916.0,2426875729.0,264507166.0,0.0,0.0,0.0,0.0,1070642867.0,37848821.0,0.0,0.0,0.0,0.0,0.0,175178713.0,145103758.0,404839030.0,887187394,0.0,78201770.0,0.0,0.0,0.0,0.0,32957272.0,0.0,0.0,0.0,1043228556.0,0.0,62929945.0,0.0,0.0,75651992.0,0.0,0.0,11892663.0,0.0,0.0,0.0,122630026.0,962564111.0,0.0,776696034.0,11257442.0,0.0,0.0,69083933.0,0.0,0.0,102704766.0,25695861,0.0,358599664.0,4763045.0,94443526.0,0.0,34240539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42158856.0,2074838.0,0.0,0.0,0.0,0.0,0.0,0.0,3934511.0,2155343.0,0.0,5873377.0,90614997.0,1144548.0,0.0,1388566.0,0.0,0.0,0.0,1724373.0,489701.0,0.0,3631953.0,433970.0,12843463.0,0.0,0.0,380870.0,78492.0,0.0,0.0,370521.0,4525.0,0.0,162621.0,0.0,0.0,646019244.0,0.0,0.0,0.0,14627603.0,0.0,159843240429.0,5,2022,20
9,2022-05-21,91488806396.0,33993690001.0,12862625801.0,1103720512.0,6037660956.0,0.0,3498113831.0,2439786309.0,267237725.0,0.0,0.0,0.0,0.0,1069995991.0,37798145.0,0.0,0.0,0.0,0.0,0.0,174246328.0,139915766.0,425665103.0,887187394,0.0,78201770.0,0.0,0.0,0.0,0.0,32957272.0,0.0,0.0,0.0,1043228856.0,0.0,61942503.0,0.0,0.0,75703394.0,0.0,0.0,11892753.0,0.0,0.0,0.0,122694021.0,962564111.0,0.0,776652432.0,10240879.0,0.0,0.0,52121541.0,0.0,0.0,102529253.0,25695861,0.0,336545345.0,4758881.0,97037152.0,0.0,34211596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116228.0,2074820.0,0.0,0.0,0.0,0.0,0.0,0.0,3919176.0,2155343.0,0.0,5804686.0,91650143.0,1144102.0,0.0,1443805.0,0.0,0.0,0.0,1724373.0,489701.0,0.0,3616969.0,433970.0,13143769.0,0.0,0.0,381185.0,78496.0,0.0,0.0,370625.0,4525.0,0.0,162621.0,0.0,0.0,602770999.0,0.0,0.0,0.0,13614318.0,0.0,159042527732.0,5,2022,21
