Timestamp,Date,Ethereum,Arbitrum,Optimism,zkSync Era,Kava,Kava,BSC,Avalanche,Polygon,Fantom,Osmosis,Solana,Axelar,Gnosis,Taiko,Stride,Injective,Rootstock,Polygon zkEVM,Mode,Moonbeam,Cronos,Kujira,Celo,Metis,Secret,Merlin,Terra Classic,Aurora,Arbitrum Nova,X Layer,Bitlayer,Evmos,Juno,BSquared,Canto,Astar,ShimmerEVM,Sifchain,Boba,KCC,Moonriver,Zkfair,XDC,Klaytn,Bitcoin,Telos,Wanchain,ThunderCore,Fuse
1666008000,2022-10-17,-2848371,-141405,-788357,0,0,0,0,3932292,-154159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666094400,2022-10-18,-124601448,-788176,-9865960,0,0,0,0,23897828,111357756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666180800,2022-10-19,-100661928,11325883,-1015009,0,0,0,0,3691646,86659408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666267200,2022-10-20,-16979752,78951,2507353,0,0,0,0,19626831,-5233383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666353600,2022-10-21,-33721304,6872008,772781,0,0,0,0,2720551,23355964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666440000,2022-10-22,-32789326,32645892,45080,0,0,0,-199426,187446,-429505,335966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666526400,2022-10-23,2929279,-4071866,345226,0,0,0,520972,-24093,661908,1397159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666612800,2022-10-24,-6211223,-6971895,2945800,0,0,0,-566472,1335294,4253926,1061840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666699200,2022-10-25,-11627510,-7597553,13224982,0,0,0,1191367,2788455,4294004,-99841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666785600,2022-10-26,-62793542,31327440,-4153747,0,0,0,727455,-2162993,47361159,346301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666872000,2022-10-27,54039940,-10193579,-38844874,0,0,0,-283592,3696390,-7844458,-45244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1666958400,2022-10-28,-119885377,-3913230,-2758067,0,0,0,239973,9003448,542799,1048414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667044800,2022-10-29,-1500624,-9529674,-5614375,0,0,0,498554,3154637,7809281,1420210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667131200,2022-10-30,610148,-2129640,4456330,0,0,0,151157,963890,-2266572,227355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667217600,2022-10-31,-43694,-2241272,2612859,0,0,0,-3750150,4197772,-2097211,3061885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667304000,2022-11-01,3363193,-9200056,6105242,0,0,0,7657997,-1516736,-1334056,2080978,0,0,0,931715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667390400,2022-11-02,4882940,-4635875,4422733,0,0,0,1193835,3030602,-7273582,457629,0,0,0,261619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1667476800,2022-11-03,-52687356,-9782124,72912940,0,0,0,1090842,1634309,-13594626,-2148541,0,0,0,462975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
